mode,src,group_id,metric,dispersion,n_hparams
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,0,GR,0.8492606781201736,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,0,IPC,0.49871987311021776,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,0,KR,0.7085736044373417,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,0,MC,0.4868365016557002,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,1,GR,0.8353161104629575,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,1,IPC,0.5790665379316784,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,1,KR,0.6909447057062565,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,1,MC,0.542933245180931,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,2,GR,0.842627594955611,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,2,IPC,0.6275011580147601,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,2,KR,0.6854141978394075,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,2,MC,0.5693896688576171,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,3,GR,0.802215265642235,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,3,IPC,0.5052565876701427,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,3,KR,0.6783670549265771,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,3,MC,0.4902682532764638,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,4,GR,0.8495450302396427,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,4,IPC,0.5932517414374843,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,4,KR,0.7108011074233228,96
sign_test_er0.0__norm_original_radius,matched_er_4to1_chunk_0,4,MC,0.6258900187641242,96
