normalization,sign_frac,metric,mean,std,n_groups,sem,n_rho_targets,cv_definition
original_radius,0.0,GR,0.7103612862414889,0.014209071449754009,100,0.001420907144975401,4,mean_within_target_cv
original_radius,0.0,IPC,0.47421730932790157,0.036707325048564395,100,0.0036707325048564395,4,mean_within_target_cv
original_radius,0.0,KR,0.5641315817009592,0.01387981714292872,100,0.001387981714292872,4,mean_within_target_cv
original_radius,0.0,MC,0.4091879123501918,0.03552904658236201,100,0.0035529046582362007,4,mean_within_target_cv
original_radius,0.2,GR,0.5388124397698449,0.008194612225285594,100,0.0008194612225285594,4,mean_within_target_cv
original_radius,0.2,IPC,0.36873213261344423,0.01894069852577558,100,0.0018940698525775582,4,mean_within_target_cv
original_radius,0.2,KR,0.3348694873416298,0.008334798938136594,100,0.0008334798938136594,4,mean_within_target_cv
original_radius,0.2,MC,0.357993126193412,0.02040045014048308,100,0.002040045014048308,4,mean_within_target_cv
original_radius,0.4,GR,0.5766365879514286,0.006748482382339713,100,0.0006748482382339713,4,mean_within_target_cv
original_radius,0.4,IPC,0.34117260408467354,0.01771022636736916,100,0.001771022636736916,4,mean_within_target_cv
original_radius,0.4,KR,0.35571981129731306,0.007398666099343041,100,0.0007398666099343041,4,mean_within_target_cv
original_radius,0.4,MC,0.3745502174805037,0.0249731437301154,100,0.0024973143730115397,4,mean_within_target_cv
original_radius,0.6,GR,0.5776226467140367,0.006345829213359461,100,0.0006345829213359461,4,mean_within_target_cv
original_radius,0.6,IPC,0.34056752672355467,0.01774201676703752,100,0.001774201676703752,4,mean_within_target_cv
original_radius,0.6,KR,0.3568639269953026,0.006342986235929034,100,0.0006342986235929034,4,mean_within_target_cv
original_radius,0.6,MC,0.37326270346431384,0.02618680029427311,100,0.002618680029427311,4,mean_within_target_cv
original_radius,0.8,GR,0.5798498868492021,0.011320017714799319,100,0.001132001771479932,4,mean_within_target_cv
original_radius,0.8,IPC,0.33392926057677497,0.015641364672101633,100,0.0015641364672101632,4,mean_within_target_cv
original_radius,0.8,KR,0.3908460337037882,0.01666294183000991,100,0.001666294183000991,4,mean_within_target_cv
original_radius,0.8,MC,0.34359194206782606,0.024433337793702305,100,0.0024433337793702305,4,mean_within_target_cv
original_radius,1.0,GR,0.7022550783137137,0.015086426667480758,100,0.0015086426667480757,4,mean_within_target_cv
original_radius,1.0,IPC,0.4664715108778731,0.021294241628024256,100,0.0021294241628024256,4,mean_within_target_cv
original_radius,1.0,KR,0.5678429214251917,0.017362786294151125,100,0.0017362786294151124,4,mean_within_target_cv
original_radius,1.0,MC,0.42362217581590605,0.022336188680757207,100,0.002233618868075721,4,mean_within_target_cv
spectral_radius,0.0,GR,0.4218654697633399,0.009211420784338446,100,0.0009211420784338446,4,mean_within_target_cv
spectral_radius,0.0,IPC,0.24928887313469503,0.015474342758981593,100,0.0015474342758981592,4,mean_within_target_cv
spectral_radius,0.0,KR,0.21743037761815565,0.010587624094242205,100,0.0010587624094242204,4,mean_within_target_cv
spectral_radius,0.0,MC,0.26825178598773103,0.019304567135719326,100,0.0019304567135719325,4,mean_within_target_cv
spectral_radius,0.2,GR,0.5324116219673711,0.009711542510208608,100,0.0009711542510208608,4,mean_within_target_cv
spectral_radius,0.2,IPC,0.34101745708746106,0.020076584800145115,100,0.0020076584800145115,4,mean_within_target_cv
spectral_radius,0.2,KR,0.31454794499489985,0.010224230095967374,100,0.0010224230095967374,4,mean_within_target_cv
spectral_radius,0.2,MC,0.35415758343436465,0.020501244525036773,100,0.0020501244525036773,4,mean_within_target_cv
spectral_radius,0.4,GR,0.576025741137743,0.012394514139707637,100,0.0012394514139707636,4,mean_within_target_cv
spectral_radius,0.4,IPC,0.32402380513085044,0.017345555770368285,100,0.0017345555770368285,4,mean_within_target_cv
spectral_radius,0.4,KR,0.48107953625770905,0.008443193899596798,100,0.0008443193899596798,4,mean_within_target_cv
spectral_radius,0.4,MC,0.45669918789446,0.019021400949144396,100,0.0019021400949144397,4,mean_within_target_cv
spectral_radius,0.6,GR,0.5785777797037688,0.011430336311322543,100,0.0011430336311322544,4,mean_within_target_cv
spectral_radius,0.6,IPC,0.32503378975204855,0.016965503335617554,100,0.0016965503335617555,4,mean_within_target_cv
spectral_radius,0.6,KR,0.4830289425703728,0.00823664602300512,100,0.0008236646023005121,4,mean_within_target_cv
spectral_radius,0.6,MC,0.45771108631713714,0.019768689502789618,100,0.001976868950278962,4,mean_within_target_cv
spectral_radius,0.8,GR,0.5608646321145044,0.00860545211487081,100,0.000860545211487081,4,mean_within_target_cv
spectral_radius,0.8,IPC,0.3235216398927456,0.019021082536434038,100,0.0019021082536434038,4,mean_within_target_cv
spectral_radius,0.8,KR,0.3558971413241669,0.01133950907198707,100,0.001133950907198707,4,mean_within_target_cv
spectral_radius,0.8,MC,0.34397903934867136,0.024302540095475327,100,0.0024302540095475327,4,mean_within_target_cv
spectral_radius,1.0,GR,0.4565815452832959,0.010763797986431574,100,0.0010763797986431574,4,mean_within_target_cv
spectral_radius,1.0,IPC,0.23752850137304254,0.017056222271239506,100,0.0017056222271239507,4,mean_within_target_cv
spectral_radius,1.0,KR,0.26285662189464665,0.01297280390759687,100,0.001297280390759687,4,mean_within_target_cv
spectral_radius,1.0,MC,0.2524763809829209,0.021355495945198345,100,0.0021355495945198344,4,mean_within_target_cv
